"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 27 12:04:10 TRT 2023","Mon Mar 27 12:04:16 TRT 2023","6775","","BusTests.spec.js","Bus Allocate Tests","","","Successfully Bus Allocate Test",""
"passed","Mon Mar 27 11:59:31 TRT 2023","Mon Mar 27 11:59:46 TRT 2023","15729","","FlightTests.spec.js","Flight Allocate Tests","","","Successfully One Way Flight Allocate Test",""
